,name,name_link,critics_consensus,score_critical,score_audience,count_critical,count_audience,abstract,Rating,Genre,Directed_By,Written_By,In_Theaters,On_Disc_Streaming,Box_Office,Runtime,Studio
10,Batman,1001781_batman,"An eerie, haunting spectacle, Batman succeeds as dark entertainment, even if Jack Nicholson's Joker too often overshadows the title character.",71%,84%,70,"910,500","Jack Nicholson is the Joker, who emerged from a horrible accident as a maniacal criminal. Michael Keaton is the Caped Crusader, who emerged from a childhood trauma to become a masked crimefighter. Kim Basinger is Vicki Vale, the talented photojournalist desired by both men. And Batman is the movie, the all-out spectacular directed by Tim Burton, set to songs by Prince and a music score by Danny Elfman, and an Academy AwardO winner* for Best Art Direction/Set Decoration (Anton Furst and Peter Young).",PG-13 (N/A),[Action & Adventure],[Tim Burton],"[Warren Skaaren, Lorenzo Semple Jr., Sam Hamm, Warren Saire]","Jun 23, 1989","Mar 25, 1997",nan,126 minutes,[Warner Bros. Pictures]
11,Batman Returns,batman_returns,"Director Tim Burton's dark, brooding atmosphere, Michael Keaton's work as the tormented hero, and the flawless casting of Danny DeVito as The Penguin and Christopher Walken as, well, Christopher Walken make the sequel better than the first.",80%,73%,75,"640,814","In the second of the blockbuster Batman films, the legendary hero does battle against the mysterious Cat Woman and the diabolical Penguin. Gotham City faces two monstrous criminal menaces: the bizarre, sinister Penguin (Danny DeVito) and the slinky, mysterious Catwoman (Michelle Pfeiffer). Can Batman (Michael Keaton) battle two formidable foes at once? Especially when one wants to be mayor and the other is romantically attracted to Bruce Wayne?",PG-13 (violence),"[Action & Adventure, Science Fiction & Fantasy]",[Tim Burton],"[Daniel Waters, Sam Hamm, Wesley Strick]","Jun 19, 1992","Apr 29, 1997",nan,126 minutes,[Warner Bros. Pictures]
12,Batman: Mask of the Phantasm,batman_mask_of_the_phantasm,"Stylish and admirably respectful of the source material, Batman: Mask of the Phantasm succeeds where many of the live-action Batman adaptations have failed.",83%,88%,29,"71,710","This stylish animated adventure is based on the '90s animated television series, which in turn is based on the original comics and Tim Burton's live action ""Batman"" films. Unlike the campy 1960s version of Batman, this version is half-mad from the superhero's obsession with justice. It is only his unusual sense of ethics that keeps him from becoming a full-blown psychotic. The story describes the origins of Batman as it follows the Dark Knight's attempts to capture the elusive, deadly Phantasm who kills a crime lord and makes it look as if Batman did it, causing a media smear campaign against the Caped Crusader. At the same time, millionaire Bruce Wayne holds a party at his mansion. There he meets Councilman Arthur Reeves, the man behind the accusations. Reeves derides playboy Wayne for allowing his college sweetheart Andrea Beaumont to leave him. Suddenly Wayne flashes back to his pre-Batman days. He remembers how he met her while visiting his parents' graves to renew his vow that he would spend his life fighting crime to avenge their wrongful deaths. He has already devised an early version of his alter-ego Batman, but that is nearly forgotten when he falls in love with Andrea. The story then jumps from past to present and back as the mysterious Phantasm strikes again. Batman continues his investigation and discovers a disturbing link between Andrea, who suddenly shows up after many years absence, and the villain. Meanwhile, the Phantasm, feeling that Batman is too close to learning his/her identity hires the Joker to kill him. But the Joker has his own agenda and much action ensues before the mystery of the Phantasm identity is solved, Batman clears his name, and justice is served. This film was originally made to go straight to video, Warner's studio liked it enough to release it theatrically. Some of the violence may be inappropriate for very young children.",PG,"[Action & Adventure, Animation, Kids & Family, Mystery & Suspense]","[Eric Radomski, Bruce Timm]","[Martin Paso, Michael Reaves, Paul Dini, Alan Burnett]","Dec 24, 1993","Dec 21, 1999",nan,80 minutes,[WARNER BROTHERS PICTURES]
13,Tank Girl,tank_girl,"While unconventional, Tank Girl isn't particularly clever or engaging, and none of the script's copious one-liners have any real zing.",38%,63%,39,"49,613","This wild, futuristic action-fantasy is set in the year 2033 where drought and pollution have turned the Earth into a desert wasteland. The planet's water supply is controlled by a despotic company that is opposed by a few courageous rebels who regularly risk their lives to poach the precious fluid.",R,"[Action & Adventure, Comedy, Science Fiction & Fantasy]",[Rachel Talalay],[Tedi Sarafian],"Mar 1, 1995","Apr 10, 2001",nan,104 minutes,[MGM Home Entertainment]
14,Batman Forever,batman_forever,"Loud, excessively busy, and often boring, Batman Forever nonetheless has the charisma of Jim Carrey and Tommy Lee Jones to offer mild relief.",39%,32%,62,"608,752","Director Joel Schumacher inherited the Batman franchise from Tim Burton and began steering it in the campier direction of the Sixties television show with this third installment. First-time Batman/Bruce Wayne (Val Kilmer), in his only outing as the Caped Crusader, is effectively brooding as he ponders strange dreams about his parents' death and escapes his own near-demise at the hands of Two-Face (Tommy Lee Jones), a former district attorney driven insane and turned into a master criminal when a gangster throws acid in his face. Meanwhile, as sexy psychologist Chase Meridian (Nicole Kidman) tries to analyze and seduce both Bruce Wayne and Batman, Wayne Enterprises employee Edward Nygma (Jim Carrey) reacts badly to getting fired, using his self-invented mind-energy device to transform into the super-intelligent Riddler. The Riddler teams up with Two-Face to bring down Batman and drain the minds of Gotham City residents with his device, while Batman gets some much-needed help in the form of circus performer Dick Grayson (Chris O'Donnell), out for vengeance after being orphaned by Two-Face. ~ Don Kaye, Rovi",PG-13 (for strong stylized action),"[Action & Adventure, Science Fiction & Fantasy]",[Joel Schumacher],"[Lee Batchler, Janet Scott Batchler, Akiva Goldsman]","Jun 16, 1995","Aug 27, 1997",nan,82 minutes,[Warner Bros. Pictures]
15,Justice League of America,justice_league_of_america_1997,No consensus yet.,54%,54%,N/A,402,An evil Weather Man intent on destroying New Metro City with a series of malevolent meteorological mishaps. Can the super-powered (and semi-employed) Justice League of America save the day? Or will New Metro be drowned in a humongous tidal wave?,NR,"[Action & Adventure, Science Fiction & Fantasy, Television]","[Félix Eríques Alcalá, Lewis Teague]",nan,nan,nan,nan,nan,nan
16,Batman & Robin,1077027_batman_and_robin,Joel Schumacher's tongue-in-cheek attitude hits an unbearable limit in Batman & Robin resulting in a frantic and mindless movie that's too jokey to care much for.,10%,16%,86,"554,257",Batman & Robin try to keep their relationship together even as they must stop Mr. Freeze and Poison Ivy from freezing Gotham City.,"PG-13 (sex, violence)","[Action & Adventure, Mystery & Suspense, Science Fiction & Fantasy]",[Joel Schumacher],[Akiva Goldsman],"Jun 20, 1997","Oct 21, 1997",nan,127 minutes,[Warner Home Video]
17,Steel,1078035_steel,"Steel is a badly-acted movie that indulges not only in superhero cliches, but also the sappy TV-movie-of-the-week ones.",12%,15%,26,"7,048","Low-rent, poorly-lit superhero action is the order of the day in this film from television director Kenneth Johnson -- who makes several references to his series Alien Nation throughout the course of the movie. NBA basketball superstar Shaquille O'Neal stars as John Henry Irons, a weapons designer and metallurgical genius who is developing a new sonic weapon for the military with the help of Sparks (Annabeth Gish), a computer whiz. When an accident caused by unscrupulous superior Nathaniel Burke (Judd Nelson) leaves Sparks paralyzed, Irons quits his job in disgust. It turns out later that Burke has begun mass-producing the weapon and selling it to terrorists and L.A. street gangs, so Irons and Sparks team up with Uncle Joe (Richard Roundtree), a junkyard artist, to create a suit of armor and a gadget-packed sledgehammer. Irons dons the suit and becomes known as the superhero Steel, who kicks criminal posterior all over the city with his impenetrable get-up and high-tech gizmos. Before long, Burke's comeuppance is in the offing. Although specific references to it were excised between the source material and script, the original DC Comics version of Steel was a spin-off of the Superman comics series. ~ Karl Williams, Rovi",PG-13 (violence),"[Action & Adventure, Mystery & Suspense, Science Fiction & Fantasy]",[Kenneth Johnson (I)],[Kenneth Johnson (I)],"Aug 15, 1997","Feb 17, 1998",nan,93 minutes,[Warner Home Video]
18,Gen 13,gen-13,No consensus yet.,26%,26%,N/A,165,,PG,"[Action & Adventure, Animation, Science Fiction & Fantasy]",[Kevin Altieri],nan,"Oct 31, 2000",nan,nan,73 minutes,nan
19,Road to Perdition,road_to_perdition,"Somber, stately, and beautifully mounted, Sam Mendes' Road to Perdition is a well-crafted mob movie that explores the ties between fathers and sons.",80%,86%,215,"188,635","A hit man for an Irish gang in the Depression-era Midwest, hit man Michael Sullivan is known to friends and enemies alike as the Angel of Death. Uncompromising in his work, Sullivan is just as devoted to his private life as an upstanding husband and father of two young boys. But when those worlds collide, taking the lives of his wife and younger son, Sullivan and his surviving son, Michael Jr. leave their sedate home life behind and embark on a startling journey of revenge and self-discovery.",R (for violence and language),[Drama],[Sam Mendes],"[Max Allan Collins, Richard Piers Rayner, David Self]","Jul 12, 2002","Feb 25, 2003","$104,054,514",116 minutes,[DreamWorks SKG]
20,The League of Extraordinary Gentlemen,league_of_extraordinary_gentlemen,Just ordinary. LXG is a great premise ruined by poor execution.,17%,44%,180,"422,489","Allan Quatermain, the world's greatest adventurer, leads a legion of superheroes the likes of which the world has never seen. Quatermain's extraordinary League is comprised of Captain Nemo, Dracula vampiress Mina Harker, an invisible man Rodney Skinner, American secret service agent Sawyer, Dorian Gray, Dr. Jekyll/Mr. Hyde and M--the League's enigmatic recruiter. The League members are staunch individualists, outcasts in fact, with checkered pasts and singular gifts that have been both blessing and curse. Now they must learn to trust each other and work as a team for the very hope of civilization. With little preparation and no time to lose, they will be transported via Captain Nemo's extraordinary submarine, the Nautilus, to the frontline of defense: Venice, Italy. There, a masked madman known as the Fantom plans to sabotage a conference of world leaders by setting off a domino chain of explosions, sinking the entire city. The threat is catastrophic, the risks are staggering. The League of Extraordinary Gentlemen has 96 hours to save the world.","PG-13 (for intense sequences of fantasy violence, language and innuendo)","[Action & Adventure, Science Fiction & Fantasy]",[Stephen Norrington],[James Dale Robinson],"Jul 11, 2003","Dec 16, 2003","$66,327,144",110 minutes,[20th Century Fox]
21,American Splendor,american_splendor,"Exhilarating both stylistically and for its entertaining, moving portrayal of an everyman, American Splendor is a portrait of a true underground original.",94%,86%,186,"44,524","Harvey Pekar is file clerk at the local VA hospital. His interactions with his co-workers offer some relief from the monotony, and their discussions encompass everything from music to the decline of American culture to new flavors of jellybeans and life itself. At home, Harvey fills his days with reading, writing and listening to jazz. His apartment is filled with thousands of books and LPs, and he regularly scours Cleveland's thrift stores and garage sales for more, savoring the rare joy of a 25-cent find. It is at one of these junk sales that Harvey meets Robert Crumb, a greeting card artist and music enthusiast. When, years later, Crumb finds international success for his underground comics, the idea that comic books can be a valid art form for adults inspires Harvey to write his own brand of comic book. An admirer of naturalist writers like Theodore Dreiser, Harvey makes his ""American Splendor"" a truthful, unsentimental record of his working-class life, a warts-and-all self portrait. First published in 1976, the comic earns Harvey cult fame throughout the 1980s and eventually leads him to the sardonic Joyce Barber, a partner in a Delaware comic book store who end ups being Harvey's true soul mate as they experience the bizarre byproducts of Harvey's cult celebrity stature.",R (for language),"[Art House & International, Comedy, Drama]","[Robert Pulcini, Shari Springer Berman]","[Harvey Pekar, Shari Springer Berman, Robert Pulcini]","Aug 15, 2003","Feb 3, 2004","$5,977,550",100 minutes,[Fine Line Features]
22,Catwoman,catwoman,"Halle Berry is the lone bright spot, but even she can't save this laughable action thriller.",9%,18%,195,"274,698","Patience Philips is a woman who can't seem to stop apologizing for her own existence. She works as a graphic designer for Hedare Beauty, a mammoth cosmetics company on the verge of releasing a revolutionary anti-aging product. When Patience inadvertently happens upon a dark secret her employer is hiding, she finds herself in the middle of a corporate conspiracy. What happens next changes Patience forever. In a mystical twist of fate, she is transformed into a woman with the strength, speed, agility and ultra-keen senses of a cat. With her newfound prowess and feline intuition, Patience becomes Catwoman, a sleek and stealthy creature balancing on the thin line between good and bad. Like any wildcat, she's dangerous, elusive and untamed. Her adventures are complicated by a burgeoning relationship with Tom Lone, a cop who has fallen for Patience but cannot shake his fascination with the mysterious Catwoman, who appears to be responsible for a string of crime sprees plaguing the city.",PG-13 (for action violence and some sensuality),"[Action & Adventure, Drama]","[Pitof, Jean-Christopher Comar]","[John Rogers, John Brancato, Michael Ferris]","Jul 23, 2004","Jan 18, 2005","$40,200,000",101 minutes,[Warner Bros. Pictures]
23,Constantine,constantine,"Despite solid production values and an intriguing premise, Constantine lacks the focus of another spiritual shoot-em-up, The Matrix.",46%,72%,224,"468,035","An ordinary man with an extraordinary gift must save the planet from evil in this action-packed fantasy. Unknown to most people, the world is crowded with spirits both good and evil who walk among us in human guise. One of the few who can see these spirits is John Constantine (Keanu Reeves), but the responsibility of his vision is more than he can stand, and he tries to kill himself. Saved from death, Constantine must now atone for his actions by acting as a guardian in the middle ground between Paradise and Hell. Constantine also makes the acquaintance of Angela Dodson (Rachel Weisz), a police detective who becomes aware of his unusual gift while looking into the death of her sister; he leads her into the unknown world of the spirits and soon circumstances demand that they join forces in a desperate bid to save humanity from evil. Constantine also features Tilda Swinton, Peter Stormare, and Gavin Rossdale, the latter best known as the lead singer of the rock group Bush. Michelle Monaghan (Made of Honor) was originally in the film (cast as a half-breed demon) but director Francis Lawrence cut her scenes. ~ Mark Deming, Rovi",R (for violence and demonic images),"[Action & Adventure, Horror, Mystery & Suspense, Science Fiction & Fantasy]",[Francis Lawrence],"[Frank A. Cappello, Kevin Brodbin, Frank Cappello]","Feb 18, 2005","Jul 19, 2005","$75,400,000",120 minutes,[Warner Bros. Pictures]
24,V for Vendetta,v_for_vendetta,"Visually stunning and thought-provoking, V For Vendetta's political pronouncements may rile some, but its story and impressive set pieces will nevertheless entertain.",73%,90%,245,"903,618","Based on the graphic novel by Alan Moore, V for Vendetta takes place in an alternate vision of Britain in which a corrupt and abusive totalitarian government has risen to complete power. During a threatening run in with the secret police, an unassuming young woman named Evey (Natalie Portman) is rescued by a vigilante named V (Hugo Weaving) -- a caped figure both articulate and skilled in combat. V embodies the principles of rebellion from an authoritarian state, donning a mask of vilified would-be terrorist of British history Guy Fawkes and leading a revolution sparked by assassination and destruction. Evey becomes his unlikely ally, newly aware of the cruelty of her own society and her role in it. ~ Cammila Albertson, Rovi",R (for strong violence and some language),"[Action & Adventure, Drama, Mystery & Suspense, Science Fiction & Fantasy]",[James McTeigue],"[Lilly Wachowski, Lana Wachowski]","Mar 17, 2006","Aug 1, 2006","$70,500,000",145 minutes,[Warner Bros. Pictures]
25,Batman Begins,batman_begins,"Brooding and dark, but also exciting and smart, Batman Begins is a film that understands the essence of one of the definitive superheroes.",84%,94%,276,"1,113,871","The origins of the Caped Crusader of Gotham City are finally brought to the big screen in this new adaptation of the perennially popular comic-book series. The young Bruce Wayne (Gus Lewis) leads a privileged life as the son of wealthy, philanthropist parents, both of whom stress their commitment to improving the lives of the citizens of crime-ridden Gotham City. After his mother and father are murdered by a mugger, however, Wayne grows into an impudent young man (Christian Bale), full of rage and bent on retribution until encouraged by his childhood sweetheart, Rachel Dawes (Katie Holmes), to search for answers beyond his own personal vendettas. Wayne eventually finds discipline in the Far East under the tutelage of Henri Ducard (Liam Neeson), a member of the mysterious League of Shadows who guides him in the study of martial arts -- and the ways in which an ordinary man can hone his senses to an almost superhuman acuity. After seven years away from Gotham, Wayne returns, determined to bring peace and safety back to the city. With the help of his faithful manservant, Alfred Pennyworth (Michael Caine), and Lucius Fox (Morgan Freeman), a scientist at his late father's corporation, Wayne develops a secret identity as Batman, a masked fighter for justice. But when a shady psychiatrist (Cillian Murphy) joins forces with the criminal underworld, Wayne realizes that putting an end to their nefarious plans will be very difficult indeed. Batman Begins also features Gary Oldman as Lt. James Gordon and Tom Wilkinson as the crime boss Carmine Falcone. ~ Mark Deming, Rovi","PG-13 (for intense action violence, disturbing images and some thematic elements)","[Action & Adventure, Science Fiction & Fantasy]",[Christopher Nolan],"[Christopher Nolan, David S. Goyer]","Jun 14, 2005","Oct 18, 2005","$204,100,000",140 minutes,[Warner Bros. Pictures]
26,A History of Violence,history_of_violence,"A History of Violence raises compelling and thoughtful questions about the nature of violence, while representing a return to form for director David Cronenberg in one of his more uncharacteristic pieces.",87%,76%,211,"279,919","Tom Stall is living a happy and quiet life with his lawyer wife and their two children in the small town of Millbrook, Indiana, but one night their idyllic existence is shattered when Tom foils a vicious attempted robbery in his diner. Sensing danger, he takes action and saves his customers and friends in the self-defense killings of two-sought-after criminals. Heralded as a hero, Tom's life is changed overnight, attracting a national media circus, which forces him into the spotlight. Uncomfortable with his newfound celebrity, Tom tries to return to the normalcy of his ordinary life only to be confronted by a mysterious and threatening man who arrives in town believing Tom is the man who's wronged him in the past. As Tom and his family fight back against this case of mistaken identity and struggle to cope with their changed reality, they are forced to confront their relationships and the divisive issues which surface as a result.","R (for strong brutal violence, graphic sexuality, nudity, language and some drug use)","[Action & Adventure, Drama, Mystery & Suspense]",[David Cronenberg],[Josh Olson],"Sep 30, 2005","Mar 14, 2006","$31,500,000",96 minutes,[New Line Cinema]
27,Superman Returns,superman_returns,Bryan Singer's reverent and visually decadent adaptation gives the Man of Steel welcome emotional complexity. The result: a satisfying stick-to-your-ribs adaptation.,75%,60%,262,"516,890","Following a mysterious absence of several years, Superman comes back to Earth -- but things have changed. While an old enemy plots to render him powerless once and for all, The Man of Steel faces the heartbreaking realization that the woman he loves, Lois Lane, has moved on with her life. Or has she? Superman's bittersweet return challenges him to bridge the distance between them while finding a place in a society that has learned to survive without him. In an attempt to protect the world he loves from cataclysmic destruction, Superman embarks on an epic journey of redemption that takes him from the depths of the ocean to the far reaches of outer space.",PG-13 (for some intense action violence),"[Action & Adventure, Drama, Science Fiction & Fantasy]",[Bryan Singer],"[Daniel Harris, Michael Dougherty, Dan Harris]","Jun 28, 2006","Nov 28, 2006","$200,100,000",154 minutes,[Warner Bros. Pictures]
28,Stardust,stardust,"A faithful interpretation that captures the spirit of whimsy, action, and off-kilter humor of Neil Gaiman, Stardust juggles multiple genres and tones to create a fantastical experience.",76%,86%,191,"468,295","The sleepy English village of Wall is so named for the cobblestone wall that has, for eons, kept the villagers safely apart form the supernatural parallel universe that lies just on the other side. It is here that young Tristan Thorne makes a wild-eyed promise to the prettiest girl in the village, whose heart he hopes to win: that he will bring her back a fallen star. Now, in order to make good on his promise, Tristan will have to cross the forbidden wall, and enter a mysterious kingdom lit by unending magic and unfolding legends. In this fantastical realm known as Stormhold, Tristan discovers that the fallen star is not at all what he expected but a spirited young woman injured by her cosmic tumble. Now, she is in terrible danger--sought after by colossal powers including the King's scheming sons for whom only she can secure the throne; and a chillingly powerful witch desperate to use the star to achieve eternal youth and beauty. As Tristan sets out to protect the star and bring her back to his beloved on the other side of the wall, he encounters with a pirate captain and a shady trader, among other surprises. But if he can survive, Tristan will also uncover the secret key to his own identity and a fate beyond his wildest dreams.",PG-13 (for fantasy violence and some risque humor),"[Action & Adventure, Drama, Science Fiction & Fantasy]",[Matthew Vaughn],"[Neil Gaiman, Jane Goldman, Matthew Vaughn]","Aug 10, 2007","Dec 18, 2007","$38,226,458",127 minutes,[Paramount Pictures]
29,The Dark Knight,the_dark_knight,"Dark, complex, and unforgettable, The Dark Knight succeeds not just as an entertaining comic book film, but as a richly thrilling crime saga.",94%,94%,331,"1,831,566","Christopher Nolan steps back into the director's chair for this sequel to Batman Begins, which finds the titular superhero coming face to face with his greatest nemesis -- the dreaded Joker. Christian Bale returns to the role of Batman, Maggie Gyllenhaal takes over the role of Rachel Dawes (played by Katie Holmes in Batman Begins), and Brokeback Mountain star Heath Ledger dons the ghoulishly gleeful Joker makeup previously worn by Jack Nicholson and Cesar Romero. Just as it begins to appear as if Batman, Lt. James Gordon (Gary Oldman), and District Attorney Harvey Dent (Aaron Eckhart) are making headway in their tireless battle against the criminal element, a maniacal, wisecracking fiend plunges the streets of Gotham City into complete chaos. ~ Jason Buchanan, Rovi",PG-13 (for intense sequences of violence and some menace),"[Action & Adventure, Drama, Science Fiction & Fantasy]",[Christopher Nolan],"[Christopher Nolan, Jonathan Nolan]","Jul 18, 2008","Dec 9, 2008","$533,316,061",152 minutes,[Warner Bros. Pictures/Legendary]
